Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-06-18,86.271,88.234,85.497,85.775,722257
2020-06-19,86.767,87.798,86.37,87.163,999252
2020-06-22,87.143,87.223,85.596,86.191,310787
2020-06-23,85.815,89.206,85.815,89.146,570776
2020-06-24,89.107,90.912,87.6,87.818,501200
2020-06-25,87.481,89.325,87.203,89.107,430452
2020-06-26,89.246,90.079,87.659,87.937,555024
2020-06-29,87.857,89.702,87.857,89.702,374514
2020-06-30,89.741,90.455,88.849,90.138,868340
2020-07-01,89.801,92.22,89.682,92.181,750681
2020-07-02,92.201,95.691,91.963,94.581,1093395
2020-07-03,94.581,95.195,92.934,93.47,380752
2020-07-06,95.294,97.079,94.977,96.187,584959
2020-07-07,95.909,96.365,94.699,96.187,416491
2020-07-08,95.592,96.782,95.453,96.385,386292
2020-07-09,96.881,101.49,96.881,100.55,1502713
2020-07-10,99.459,101.15,98.17,101.15,521789
2020-07-13,103.13,107.69,102.53,106.85,1256059
2020-07-14,105.11,105.66,102.93,104.67,853038
2020-07-15,105.11,106.85,104.12,106.2,688266
2020-07-16,104.52,106.1,103.62,106.1,611205
2020-07-17,105.41,106.5,104.57,106.35,632695
2020-07-20,105.86,109.67,105.11,109.67,1025271
2020-07-21,110.47,113.09,110.17,112.05,1231439
2020-07-22,112.25,114.63,112.05,114.04,1299954
2020-07-23,114.63,118.8,114.58,118,1003923
2020-07-24,115.62,118.4,110.37,118.2,1060990
2020-07-27,118.89,129.51,118.1,129.31,1670939
2020-07-28,128.96,132.28,124.8,128.36,1567780
2020-07-29,124.94,131.93,124.94,130.3,1293589
2020-07-30,128.91,129.31,122.27,124.84,886795
2020-07-31,124.05,127.62,124.05,124.99,1007981
2020-08-03,125.74,130.35,124.94,129.06,878009
2020-08-04,129.06,129.9,126.33,128.36,554357
2020-08-05,129.9,136.45,129.9,136.05,1596478
2020-08-06,136.05,138.78,134.66,138.18,1153616
2020-08-07,137.44,138.13,134.27,134.86,658352
2020-08-10,134.86,138.28,134.86,136.84,509959
2020-08-11,135.9,138.63,130.1,130.89,720086
2020-08-12,125.99,133.22,124.99,133.22,957329
2020-08-13,132.98,133.03,131.39,132.38,396997
